datetime,respondent_code,respondent_name,fuel_type,type_name,value,units
2022-10-27 00:00:00,NE,New England,NG,Natural Gas,7798,megawatthours
2022-10-27 01:00:00,NE,New England,NG,Natural Gas,7390,megawatthours
2022-10-27 02:00:00,NE,New England,NG,Natural Gas,6494,megawatthours
2022-10-27 03:00:00,NE,New England,NG,Natural Gas,5345,megawatthours
2022-10-27 04:00:00,NE,New England,NG,Natural Gas,4268,megawatthours
2022-10-27 05:00:00,NE,New England,NG,Natural Gas,3921,megawatthours
2022-10-27 06:00:00,NE,New England,NG,Natural Gas,3356,megawatthours
2022-10-27 07:00:00,NE,New England,NG,Natural Gas,3200,megawatthours
2022-10-27 08:00:00,NE,New England,NG,Natural Gas,3418,megawatthours
2022-10-27 09:00:00,NE,New England,NG,Natural Gas,3511,megawatthours
2022-10-27 10:00:00,NE,New England,NG,Natural Gas,3531,megawatthours
2022-10-27 11:00:00,NE,New England,NG,Natural Gas,4798,megawatthours
2022-10-27 12:00:00,NE,New England,NG,Natural Gas,5242,megawatthours
2022-10-27 13:00:00,NE,New England,NG,Natural Gas,5004,megawatthours
2022-10-27 14:00:00,NE,New England,NG,Natural Gas,4514,megawatthours
2022-10-27 15:00:00,NE,New England,NG,Natural Gas,4458,megawatthours
2022-10-27 16:00:00,NE,New England,NG,Natural Gas,4078,megawatthours
2022-10-27 17:00:00,NE,New England,NG,Natural Gas,3971,megawatthours
2022-10-27 18:00:00,NE,New England,NG,Natural Gas,4134,megawatthours
2022-10-27 19:00:00,NE,New England,NG,Natural Gas,4223,megawatthours
2022-10-27 20:00:00,NE,New England,NG,Natural Gas,4689,megawatthours
2022-10-27 21:00:00,NE,New England,NG,Natural Gas,4922,megawatthours
2022-10-27 22:00:00,NE,New England,NG,Natural Gas,5676,megawatthours
2022-10-27 23:00:00,NE,New England,NG,Natural Gas,5809,megawatthours
2022-10-28 00:00:00,NE,New England,NG,Natural Gas,5842,megawatthours
2022-10-28 01:00:00,NE,New England,NG,Natural Gas,5738,megawatthours
2022-10-28 02:00:00,NE,New England,NG,Natural Gas,5031,megawatthours
2022-10-28 03:00:00,NE,New England,NG,Natural Gas,4150,megawatthours
2022-10-28 04:00:00,NE,New England,NG,Natural Gas,3967,megawatthours
2022-10-28 05:00:00,NE,New England,NG,Natural Gas,3530,megawatthours
2022-10-28 06:00:00,NE,New England,NG,Natural Gas,3360,megawatthours
2022-10-28 07:00:00,NE,New England,NG,Natural Gas,3385,megawatthours
2022-10-28 08:00:00,NE,New England,NG,Natural Gas,3171,megawatthours
2022-10-28 09:00:00,NE,New England,NG,Natural Gas,3492,megawatthours
2022-10-28 10:00:00,NE,New England,NG,Natural Gas,4138,megawatthours
2022-10-28 11:00:00,NE,New England,NG,Natural Gas,5524,megawatthours
2022-10-28 12:00:00,NE,New England,NG,Natural Gas,6139,megawatthours
2022-10-28 13:00:00,NE,New England,NG,Natural Gas,6039,megawatthours
2022-10-28 14:00:00,NE,New England,NG,Natural Gas,5539,megawatthours
2022-10-28 15:00:00,NE,New England,NG,Natural Gas,5141,megawatthours
2022-10-28 16:00:00,NE,New England,NG,Natural Gas,4915,megawatthours
2022-10-28 17:00:00,NE,New England,NG,Natural Gas,5114,megawatthours
2022-10-28 18:00:00,NE,New England,NG,Natural Gas,5004,megawatthours
2022-10-28 19:00:00,NE,New England,NG,Natural Gas,4819,megawatthours
2022-10-28 20:00:00,NE,New England,NG,Natural Gas,5392,megawatthours
2022-10-28 21:00:00,NE,New England,NG,Natural Gas,5881,megawatthours
2022-10-28 22:00:00,NE,New England,NG,Natural Gas,6279,megawatthours
2022-10-28 23:00:00,NE,New England,NG,Natural Gas,6499,megawatthours
2022-10-29 00:00:00,NE,New England,NG,Natural Gas,6446,megawatthours
