datetime,respondent_code,value
2024-09-04 23:00:00,NE,-1753
2024-09-04 23:00:00,NE,15462
2024-09-04 23:00:00,NE,13709
2024-09-04 23:00:00,NE,15400
2024-09-05 00:00:00,NE,15466
2024-09-05 00:00:00,NE,-2237
2024-09-05 00:00:00,NE,13229
2024-09-05 00:00:00,NE,15360
2024-09-05 01:00:00,NE,12592
2024-09-05 01:00:00,NE,14730
2024-09-05 01:00:00,NE,14906
2024-09-05 01:00:00,NE,-2314
2024-09-05 02:00:00,NE,-1984
2024-09-05 02:00:00,NE,11878
2024-09-05 02:00:00,NE,13720
2024-09-05 02:00:00,NE,13862
2024-09-05 03:00:00,NE,-1626
2024-09-05 03:00:00,NE,11025
2024-09-05 03:00:00,NE,12560
2024-09-05 03:00:00,NE,12651
2024-09-05 04:00:00,NE,-1480
2024-09-05 04:00:00,NE,10084
2024-09-05 04:00:00,NE,11520
2024-09-05 04:00:00,NE,11564
2024-09-05 05:00:00,NE,10969
2024-09-05 05:00:00,NE,10620
2024-09-05 05:00:00,NE,-1444
2024-09-05 05:00:00,NE,9525
2024-09-05 06:00:00,NE,-1261
2024-09-05 06:00:00,NE,9850
2024-09-05 06:00:00,NE,10160
2024-09-05 06:00:00,NE,11111
2024-09-05 07:00:00,NE,9880
2024-09-05 07:00:00,NE,11004
2024-09-05 07:00:00,NE,-1639
2024-09-05 07:00:00,NE,9365
2024-09-05 08:00:00,NE,-1770
2024-09-05 08:00:00,NE,9160
2024-09-05 08:00:00,NE,9770
2024-09-05 08:00:00,NE,10930
2024-09-05 09:00:00,NE,-1716
2024-09-05 09:00:00,NE,9353
2024-09-05 09:00:00,NE,9900
2024-09-05 09:00:00,NE,11069
2024-09-05 10:00:00,NE,11478
2024-09-05 10:00:00,NE,10610
2024-09-05 10:00:00,NE,-1688
2024-09-05 10:00:00,NE,9790
2024-09-05 11:00:00,NE,10091
2024-09-05 11:00:00,NE,11740
2024-09-05 11:00:00,NE,11779
2024-09-05 11:00:00,NE,-1688
2024-09-05 12:00:00,NE,-2168
2024-09-05 12:00:00,NE,9886
2024-09-05 12:00:00,NE,12120
2024-09-05 12:00:00,NE,12054
2024-09-05 13:00:00,NE,11523
2024-09-05 13:00:00,NE,10135
2024-09-05 13:00:00,NE,11430
2024-09-05 13:00:00,NE,-1388
2024-09-05 14:00:00,NE,-1152
2024-09-05 14:00:00,NE,9747
2024-09-05 14:00:00,NE,10570
2024-09-05 14:00:00,NE,10899
2024-09-05 15:00:00,NE,10594
2024-09-05 15:00:00,NE,10000
2024-09-05 15:00:00,NE,-759
2024-09-05 15:00:00,NE,9835
2024-09-05 16:00:00,NE,-329
2024-09-05 16:00:00,NE,9842
2024-09-05 16:00:00,NE,10060
2024-09-05 16:00:00,NE,10171
2024-09-05 17:00:00,NE,-75
2024-09-05 17:00:00,NE,10143
2024-09-05 17:00:00,NE,10300
2024-09-05 17:00:00,NE,10218
2024-09-05 18:00:00,NE,10577
2024-09-05 18:00:00,NE,117
2024-09-05 18:00:00,NE,10694
2024-09-05 18:00:00,NE,10850
2024-09-05 19:00:00,NE,380
2024-09-05 19:00:00,NE,11424
2024-09-05 19:00:00,NE,11310
2024-09-05 19:00:00,NE,11044
2024-09-05 20:00:00,NE,11964
2024-09-05 20:00:00,NE,475
2024-09-05 20:00:00,NE,12439
2024-09-05 20:00:00,NE,12510
2024-09-05 21:00:00,NE,13426
2024-09-05 21:00:00,NE,13730
2024-09-05 21:00:00,NE,13231
2024-09-05 21:00:00,NE,195
2024-09-05 22:00:00,NE,-668
2024-09-05 22:00:00,NE,13843
2024-09-05 22:00:00,NE,14980
2024-09-05 22:00:00,NE,14511
2024-09-05 23:00:00,NE,15129
2024-09-05 23:00:00,NE,13823
2024-09-05 23:00:00,NE,15380
2024-09-05 23:00:00,NE,-1306
2024-09-06 00:00:00,NE,-1872
2024-09-06 00:00:00,NE,13284
2024-09-06 00:00:00,NE,15400
2024-09-06 00:00:00,NE,15156
2024-09-06 01:00:00,NE,14677
2024-09-06 01:00:00,NE,14910
2024-09-06 01:00:00,NE,-1828
2024-09-06 01:00:00,NE,12849
2024-09-06 02:00:00,NE,-1200
2024-09-06 02:00:00,NE,12500
2024-09-06 02:00:00,NE,13900
2024-09-06 02:00:00,NE,13700
2024-09-06 03:00:00,NE,-1292
2024-09-06 03:00:00,NE,11283
2024-09-06 03:00:00,NE,12760
2024-09-06 03:00:00,NE,12575
2024-09-06 04:00:00,NE,11486
2024-09-06 04:00:00,NE,-1406
2024-09-06 04:00:00,NE,10080
2024-09-06 04:00:00,NE,11740
2024-09-06 05:00:00,NE,-1268
2024-09-06 05:00:00,NE,9937
2024-09-06 05:00:00,NE,10810
2024-09-06 05:00:00,NE,11205
2024-09-06 06:00:00,NE,11202
2024-09-06 06:00:00,NE,-1454
2024-09-06 06:00:00,NE,9748
2024-09-06 06:00:00,NE,10310
2024-09-06 07:00:00,NE,-1482
2024-09-06 07:00:00,NE,9641
2024-09-06 07:00:00,NE,10020
2024-09-06 07:00:00,NE,11123
2024-09-06 08:00:00,NE,-1516
2024-09-06 08:00:00,NE,9501
2024-09-06 08:00:00,NE,9920
2024-09-06 08:00:00,NE,11017
2024-09-06 09:00:00,NE,11126
2024-09-06 09:00:00,NE,-1455
2024-09-06 09:00:00,NE,9671
2024-09-06 09:00:00,NE,10080
2024-09-06 10:00:00,NE,-1292
2024-09-06 10:00:00,NE,10141
2024-09-06 10:00:00,NE,10770
2024-09-06 10:00:00,NE,11433
2024-09-06 11:00:00,NE,11990
2024-09-06 11:00:00,NE,-1324
2024-09-06 11:00:00,NE,10666
2024-09-06 11:00:00,NE,11860
2024-09-06 12:00:00,NE,-1215
2024-09-06 12:00:00,NE,11377
2024-09-06 12:00:00,NE,12490
2024-09-06 12:00:00,NE,12592
2024-09-06 13:00:00,NE,-1162
2024-09-06 13:00:00,NE,11606
2024-09-06 13:00:00,NE,12380
2024-09-06 13:00:00,NE,12768
2024-09-06 14:00:00,NE,-1107
2024-09-06 14:00:00,NE,11638
2024-09-06 14:00:00,NE,12620
2024-09-06 14:00:00,NE,12745
2024-09-06 15:00:00,NE,12536
2024-09-06 15:00:00,NE,-934
2024-09-06 15:00:00,NE,11602
2024-09-06 15:00:00,NE,12510
2024-09-06 16:00:00,NE,11446
2024-09-06 16:00:00,NE,12253
2024-09-06 16:00:00,NE,-807
2024-09-06 16:00:00,NE,12430
2024-09-06 17:00:00,NE,-558
2024-09-06 17:00:00,NE,11484
2024-09-06 17:00:00,NE,12490
2024-09-06 17:00:00,NE,12042
2024-09-06 18:00:00,NE,-140
2024-09-06 18:00:00,NE,11948
2024-09-06 18:00:00,NE,12660
2024-09-06 18:00:00,NE,12088
2024-09-06 19:00:00,NE,76
2024-09-06 19:00:00,NE,12305
2024-09-06 19:00:00,NE,12190
2024-09-06 19:00:00,NE,12229
2024-09-06 20:00:00,NE,12870
2024-09-06 20:00:00,NE,12676
2024-09-06 20:00:00,NE,465
2024-09-06 20:00:00,NE,13141
2024-09-06 21:00:00,NE,-21
2024-09-06 21:00:00,NE,13485
2024-09-06 21:00:00,NE,13800
2024-09-06 21:00:00,NE,13506
2024-09-06 22:00:00,NE,-325
2024-09-06 22:00:00,NE,14123
2024-09-06 22:00:00,NE,14720
2024-09-06 22:00:00,NE,14448
2024-09-06 23:00:00,NE,14871
2024-09-06 23:00:00,NE,-684
2024-09-06 23:00:00,NE,14187
2024-09-06 23:00:00,NE,14910
2024-09-07 00:00:00,NE,-1255
2024-09-07 00:00:00,NE,13679
2024-09-07 00:00:00,NE,15060
2024-09-07 00:00:00,NE,14934
2024-09-07 01:00:00,NE,14488
2024-09-07 01:00:00,NE,13506
2024-09-07 01:00:00,NE,-982
2024-09-07 01:00:00,NE,14550
2024-09-07 02:00:00,NE,-671
2024-09-07 02:00:00,NE,13050
2024-09-07 02:00:00,NE,13750
2024-09-07 02:00:00,NE,13721
2024-09-07 03:00:00,NE,-877
2024-09-07 03:00:00,NE,11937
2024-09-07 03:00:00,NE,12770
2024-09-07 03:00:00,NE,12814
2024-09-07 04:00:00,NE,11917
2024-09-07 04:00:00,NE,-1299
2024-09-07 04:00:00,NE,10618
2024-09-07 04:00:00,NE,11800
2024-09-07 05:00:00,NE,-1775
2024-09-07 05:00:00,NE,9422
2024-09-07 05:00:00,NE,11080
2024-09-07 05:00:00,NE,11197
2024-09-07 06:00:00,NE,10669
2024-09-07 06:00:00,NE,-1447
2024-09-07 06:00:00,NE,9222
2024-09-07 06:00:00,NE,10480
2024-09-07 07:00:00,NE,-1627
2024-09-07 07:00:00,NE,8919
2024-09-07 07:00:00,NE,10120
2024-09-07 07:00:00,NE,10546
2024-09-07 08:00:00,NE,-1488
2024-09-07 08:00:00,NE,8851
2024-09-07 08:00:00,NE,10010
2024-09-07 08:00:00,NE,10339
2024-09-07 09:00:00,NE,-1724
2024-09-07 09:00:00,NE,8891
2024-09-07 09:00:00,NE,10000
2024-09-07 09:00:00,NE,10615
2024-09-07 10:00:00,NE,10817
2024-09-07 10:00:00,NE,10200
2024-09-07 10:00:00,NE,-1578
2024-09-07 10:00:00,NE,9239
2024-09-07 11:00:00,NE,9589
2024-09-07 11:00:00,NE,10670
2024-09-07 11:00:00,NE,11127
2024-09-07 11:00:00,NE,-1538
2024-09-07 12:00:00,NE,-1249
2024-09-07 12:00:00,NE,9781
2024-09-07 12:00:00,NE,11050
2024-09-07 12:00:00,NE,11030
2024-09-07 13:00:00,NE,10827
2024-09-07 13:00:00,NE,9881
2024-09-07 13:00:00,NE,11300
2024-09-07 13:00:00,NE,-946
2024-09-07 14:00:00,NE,-676
2024-09-07 14:00:00,NE,9902
2024-09-07 14:00:00,NE,10270
2024-09-07 14:00:00,NE,10578
2024-09-07 15:00:00,NE,10509
2024-09-07 15:00:00,NE,10110
2024-09-07 15:00:00,NE,-133
2024-09-07 15:00:00,NE,10376
2024-09-07 16:00:00,NE,78
2024-09-07 16:00:00,NE,10631
2024-09-07 16:00:00,NE,10070
2024-09-07 16:00:00,NE,10553
2024-09-07 17:00:00,NE,127
2024-09-07 17:00:00,NE,11390
2024-09-07 17:00:00,NE,10180
2024-09-07 17:00:00,NE,11263
2024-09-07 18:00:00,NE,11902
2024-09-07 18:00:00,NE,-722
2024-09-07 18:00:00,NE,11180
2024-09-07 18:00:00,NE,12080
2024-09-07 19:00:00,NE,-1213
