time,temperature,dwpt,humidity,precipitation,snow,wdir,windspeed,wpgt,pres,tsun,cloudcover,location
2024-04-17 00:00:00,17.2,-1.0,29.0,0.0,,100.0,5.4,,1019.2,,2.0,Boston
2024-04-17 01:00:00,12.2,3.9,57.0,0.0,,360.0,5.4,,1019.6,,2.0,Boston
2024-04-17 02:00:00,12.2,3.9,57.0,0.0,,360.0,5.4,,1019.6,,2.0,Boston
2024-04-17 03:00:00,11.7,2.2,52.0,0.0,,10.0,14.8,,1021.7,,1.0,Boston
2024-04-17 04:00:00,9.4,2.7,63.0,0.0,,30.0,13.0,,1022.4,,1.0,Boston
2024-04-17 05:00:00,9.4,3.4,66.0,0.0,,50.0,20.5,,1022.5,,1.0,Boston
2024-04-17 06:00:00,7.8,3.3,73.0,0.0,,40.0,14.8,,1022.3,,2.0,Boston
2024-04-17 07:00:00,7.8,3.3,73.0,0.0,,40.0,14.8,,1022.3,,2.0,Boston
2024-04-17 08:00:00,6.7,1.6,70.0,0.0,,40.0,9.4,,1023.1,,2.0,Boston
2024-04-17 09:00:00,6.1,1.0,70.0,0.0,,30.0,7.6,,1024.0,,2.0,Boston
2024-04-17 10:00:00,7.2,0.6,63.0,0.0,,50.0,11.2,,1024.3,,2.0,Boston
2024-04-17 11:00:00,7.2,0.6,63.0,0.0,,50.0,11.2,,1024.3,,2.0,Boston
2024-04-17 12:00:00,8.3,0.0,56.0,0.0,,60.0,9.4,,1024.4,,2.0,Boston
2024-04-17 13:00:00,8.9,-0.7,51.0,0.0,,80.0,11.2,,1024.1,,2.0,Boston
2024-04-17 14:00:00,8.9,1.1,58.0,0.0,,130.0,14.8,,1023.4,,2.0,Boston
2024-04-17 15:00:00,9.4,1.1,56.0,0.0,,120.0,14.8,,1023.1,,2.0,Boston
2024-04-17 16:00:00,9.4,1.1,56.0,0.0,,120.0,14.8,,1023.1,,2.0,Boston
2024-04-17 17:00:00,9.4,1.8,59.0,0.0,,100.0,20.5,,1021.8,,3.0,Boston
2024-04-17 18:00:00,9.4,1.8,59.0,0.0,,100.0,20.5,,1021.8,,3.0,Boston
2024-04-17 19:00:00,8.9,1.8,61.0,0.0,,100.0,33.5,,1020.3,,3.0,Boston
2024-04-17 20:00:00,8.9,1.8,61.0,0.0,,100.0,33.5,,1020.3,,3.0,Boston
2024-04-17 21:00:00,8.9,2.9,66.0,0.0,,100.0,25.9,,1020.0,,4.0,Boston
2024-04-17 22:00:00,9.4,3.4,66.0,0.0,,130.0,20.5,,1020.1,,4.0,Boston
2024-04-17 23:00:00,8.9,3.9,71.0,0.0,,130.0,20.5,,1020.5,,4.0,Boston
2024-04-18 00:00:00,8.9,3.9,71.0,0.0,,120.0,22.3,,1020.5,,4.0,Boston
2024-04-18 01:00:00,8.3,3.9,74.0,0.0,,110.0,22.3,,1021.7,,4.0,Boston
2024-04-18 02:00:00,8.3,3.9,74.0,0.0,,140.0,14.8,,1022.0,,4.0,Boston
2024-04-18 03:00:00,8.3,3.3,71.0,0.0,,130.0,13.0,,1022.2,,4.0,Boston
2024-04-18 04:00:00,7.8,2.9,71.0,0.0,,140.0,18.4,,1021.9,,4.0,Boston
2024-04-18 05:00:00,7.8,2.9,71.0,0.0,,140.0,18.4,,1021.9,,4.0,Boston
2024-04-18 06:00:00,8.3,2.1,65.0,0.0,,100.0,9.4,,1020.2,,4.0,Boston
2024-04-18 07:00:00,7.8,3.8,76.0,0.0,,80.0,13.0,,1020.0,,4.0,Boston
2024-04-18 08:00:00,7.8,2.9,71.0,0.0,,70.0,22.3,,1020.1,,4.0,Boston
2024-04-18 09:00:00,7.8,2.9,71.0,0.0,,70.0,22.3,,1020.1,,4.0,Boston
2024-04-18 10:00:00,7.2,3.3,76.0,0.0,,70.0,25.9,,1021.1,,4.0,Boston
2024-04-18 11:00:00,7.2,2.9,74.0,0.0,,80.0,24.1,,1021.9,,4.0,Boston
2024-04-18 12:00:00,7.2,2.9,74.0,0.0,,80.0,24.1,,1021.9,,4.0,Boston
2024-04-18 13:00:00,7.8,3.3,73.0,0.0,,80.0,16.6,,1022.0,,4.0,Boston
2024-04-18 14:00:00,7.8,3.3,73.0,0.0,,80.0,18.4,,1021.8,,4.0,Boston
2024-04-18 15:00:00,7.8,3.8,76.0,0.0,,80.0,18.4,,1021.7,,4.0,Boston
2024-04-18 16:00:00,7.8,3.8,76.0,0.0,,80.0,18.4,,1021.7,,4.0,Boston
2024-04-18 17:00:00,8.3,3.9,74.0,0.0,,60.0,18.4,,1021.9,,4.0,Boston
2024-04-18 18:00:00,7.8,3.8,76.0,0.0,,60.0,16.6,,1021.8,,7.0,Boston
2024-04-18 19:00:00,7.2,4.3,82.0,0.0,,50.0,13.0,,1021.9,,7.0,Boston
2024-04-18 20:00:00,7.2,5.0,86.0,1.0,,40.0,13.0,,1022.4,,7.0,Boston
2024-04-18 21:00:00,7.2,5.0,86.0,1.8,,40.0,13.0,,1022.4,,8.0,Boston
2024-04-18 22:00:00,7.2,5.0,86.0,0.8,,30.0,13.0,,1022.5,,7.0,Boston
2024-04-18 23:00:00,7.2,4.0,80.0,0.2,,30.0,9.4,,1022.5,,7.0,Boston
2024-04-19 00:00:00,6.7,5.0,89.0,0.3,,20.0,9.4,,1022.5,,7.0,Boston
2024-04-19 01:00:00,6.7,5.0,89.0,0.0,,20.0,9.4,,1022.5,,4.0,Boston
2024-04-19 02:00:00,7.2,5.0,86.0,0.0,,10.0,11.2,,1023.2,,4.0,Boston
2024-04-19 03:00:00,7.2,5.0,86.0,0.0,,10.0,11.2,,1023.2,,4.0,Boston
2024-04-19 04:00:00,7.2,5.0,86.0,0.0,,50.0,11.2,,1022.8,,4.0,Boston
2024-04-19 05:00:00,6.7,5.0,89.0,0.0,,60.0,11.2,,1022.4,,4.0,Boston
