datetime,respondent_code,respondent_name,fuel_type,type_name,value,units
2024-04-06 17:00:00,NE,New England,WND,Wind,540.0,megawatthours
2024-04-06 18:00:00,NE,New England,WND,Wind,527.0,megawatthours
2024-04-06 19:00:00,NE,New England,WND,Wind,572.0,megawatthours
2024-04-06 20:00:00,NE,New England,WND,Wind,589.0,megawatthours
2024-04-06 21:00:00,NE,New England,WND,Wind,612.0,megawatthours
2024-04-06 22:00:00,NE,New England,WND,Wind,662.0,megawatthours
2024-04-06 23:00:00,NE,New England,WND,Wind,632.0,megawatthours
2024-04-07 00:00:00,NE,New England,WND,Wind,642.0,megawatthours
2024-04-07 01:00:00,NE,New England,WND,Wind,644.0,megawatthours
2024-04-07 02:00:00,NE,New England,WND,Wind,572.0,megawatthours
2024-04-07 03:00:00,NE,New England,WND,Wind,530.0,megawatthours
2024-04-07 04:00:00,NE,New England,WND,Wind,517.0,megawatthours
2024-04-07 05:00:00,NE,New England,WND,Wind,496.0,megawatthours
2024-04-07 06:00:00,NE,New England,WND,Wind,448.0,megawatthours
2024-04-07 07:00:00,NE,New England,WND,Wind,425.0,megawatthours
2024-04-07 08:00:00,NE,New England,WND,Wind,400.0,megawatthours
2024-04-07 09:00:00,NE,New England,WND,Wind,433.0,megawatthours
2024-04-07 10:00:00,NE,New England,WND,Wind,443.0,megawatthours
2024-04-07 11:00:00,NE,New England,WND,Wind,445.0,megawatthours
2024-04-07 12:00:00,NE,New England,WND,Wind,443.0,megawatthours
2024-04-07 13:00:00,NE,New England,WND,Wind,419.0,megawatthours
2024-04-07 14:00:00,NE,New England,WND,Wind,439.0,megawatthours
2024-04-07 15:00:00,NE,New England,WND,Wind,438.0,megawatthours
2024-04-07 16:00:00,NE,New England,WND,Wind,423.0,megawatthours
2024-04-07 17:00:00,NE,New England,WND,Wind,455.0,megawatthours
2024-04-07 18:00:00,NE,New England,WND,Wind,462.0,megawatthours
2024-04-07 19:00:00,NE,New England,WND,Wind,480.0,megawatthours
2024-04-07 20:00:00,NE,New England,WND,Wind,542.0,megawatthours
2024-04-07 21:00:00,NE,New England,WND,Wind,568.0,megawatthours
